Sr. No.,Symbol,Company Name,"Market capitalization as on March 28, 2024
(In lakhs)"
438,JPPOWER,Jaiprakash Power Ventures Limited,"10,45,152.47"
439,GRANULES,Granules India Limited,"10,42,549.03"
440,AAVAS,Aavas Financiers Limited,"10,41,201.53"
441,AETHER,Aether Industries Limited,"10,35,217.63"
442,UTIAMC,UTI Asset Management Company Limited,"10,34,577.54"
443,LEMONTREE,Lemon Tree Hotels Limited,"10,34,277.76"
444,JKLAKSHMI,JK Lakshmi Cement Limited,"10,30,436.77"
445,GPPL,Gujarat Pipavav Port Limited,"10,27,551.53"
446,SFL,Sheela Foam Limited,"10,25,776.81"
447,PCBL,PCBL LIMITED,"10,10,467.39"
448,MAPMYINDIA,C.E. Info Systems Limited,"10,07,847.75"
449,ROUTE,ROUTE MOBILE LIMITED,"10,06,029.25"
450,CANFINHOME,Can Fin Homes Limited,"10,02,583.98"
451,CUB,City Union Bank Limited,"10,01,018.08"
452,SAPPHIRE,Sapphire Foods India Limited,"9,99,490.43"
453,CAPLIPOINT,Caplin Point Laboratories Limited,"9,98,899.76"
454,MINDACORP,Minda Corporation Limited,"9,98,634.77"
455,MMTC,MMTC Limited,"9,96,750.00"
456,PTCIL,PTC Industries Limited,"9,95,631.98"
457,IFCI,IFCI Limited,"9,87,131.90"
458,PRAJIND,Praj Industries Limited,"9,79,631.85"
459,VOLTAMP,Voltamp Transformers Limited,"9,78,421.62"
460,SCI,Shipping Corporation Of India Limited,"9,72,588.33"
461,USHAMART,Usha Martin Limited,"9,69,840.71"
462,EIDPARRY,EID Parry India Limited,"9,68,713.49"
463,RTNINDIA,RattanIndia Enterprises Limited,"9,56,530.56"
464,ANURAS,Anupam Rasayan India Limited,"9,55,631.33"
465,GLS,Glenmark Life Sciences Limited,"9,51,607.28"
466,DOMS,DOMS Industries Limited,"9,50,210.40"
467,INFIBEAM,Infibeam Avenues Limited,"9,47,425.84"
468,FORCEMOT,FORCE MOTORS LTD,"9,44,104.29"
469,ZYDUSWELL,Zydus Wellness Limited,"9,38,955.92"
470,STARCEMENT,Star Cement Limited,"9,38,482.18"
471,GODREJAGRO,Godrej Agrovet Limited,"9,36,066.90"
472,TTKPRESTIG,TTK Prestige Limited,"9,30,515.92"
473,ALKYLAMINE,Alkyl Amines Chemicals Limited,"9,27,308.62"
474,GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,"9,18,526.21"
475,KPIGREEN,KPI Green Energy Limited,"9,18,104.12"
476,CRAFTSMAN,Craftsman Automation Limited,"9,11,665.49"
477,MAHLIFE,Mahindra Lifespace Developers Limited,"9,09,585.65"
478,REDTAPE,Redtape Limited,"9,09,299.40"
479,JUBLPHARMA,Jubilant Pharmova Limited,"9,07,743.21"
480,NETWEB,Netweb Technologies India Limited,"9,06,165.88"
481,NETWORK18,Network18 Media & Investments Limited,"9,02,469.62"
482,PRSMJOHNSN,Prism Johnson Limited,"8,98,994.85"
483,METROPOLIS,Metropolis Healthcare Limited,"8,82,946.18"
484,CERA,Cera Sanitaryware Limited,"8,82,123.40"
485,SBFC,SBFC Finance Limited,"8,78,290.38"
486,GRSE,Garden Reach Shipbuilders & Engineers Limited,"8,75,979.14"
487,KIRLOSBROS,Kirloskar Brothers Limited,"8,69,567.44"
488,UJJIVANSFB,Ujjivan Small Finance Bank Limited,"8,67,732.13"
489,SHRIPISTON,Shriram Pistons & Rings Limited,"8,63,662.87"
490,RENUKA,Shree Renuka Sugars Limited,"8,45,010.44"
491,RATEGAIN,Rategain Travel Technologies Limited,"8,44,618.76"
492,WOCKPHARMA,Wockhardt Limited,"8,44,086.08"
493,SAFARI,Safari Industries (India) Limited,"8,41,600.20"
494,HAPPYFORGE,Happy Forgings Limited,"8,38,235.04"
495,TECHNOE,Techno Electric & Engineering Company Limited,"8,30,549.78"
496,SHOPERSTOP,Shoppers Stop Limited,"8,30,118.70"
497,IBULHSGFIN,Indiabulls Housing Finance Limited,"8,28,798.45"
498,SYRMA,Syrma SGS Technology Limited,"8,26,480.97"
499,TEGA,Tega Industries Limited,"8,25,771.99"
500,ACI,Archean Chemical Industries Limited,"8,25,525.72"
501,MEDPLUS,Medplus Health Services Limited,"8,22,234.92"
502,MAHSCOOTER,Maharashtra Scooters Limited,"8,19,468.33"
503,NEULANDLAB,Neuland Laboratories Limited,"8,11,124.83"
504,AZAD,Azad Engineering Limited,"8,08,577.07"
505,ESABINDIA,Esab India Limited,"8,08,449.11"
506,GALAXYSURF,Galaxy Surfactants Limited,"8,05,266.05"
507,ZENTEC,Zen Technologies Limited,"8,03,883.35"
508,JSWHL,JSW Holdings Limited,"8,00,532.70"
509,TV18BRDCST,TV18 Broadcast Limited,"7,95,463.11"
510,HOMEFIRST,Home First Finance Company India Limited,"7,94,698.15"
511,MHRIL,Mahindra Holidays & Resorts India Limited,"7,92,126.83"
512,POWERMECH,Power Mech Projects Limited,"7,92,067.16"
513,KTKBANK,The Karnataka Bank Limited,"7,89,691.86"
514,JLHL,Jupiter Life Line Hospitals Limited,"7,84,497.45"
515,MASTEK,Mastek Limited,"7,84,123.90"
516,PGHL,Procter & Gamble Health Limited,"7,81,814.29"
517,THOMASCOOK,Thomas Cook  (India)  Limited,"7,80,831.73"
518,CCL,CCL Products (India) Limited,"7,79,942.69"
519,GSFC,Gujarat State Fertilizers & Chemicals Limited,"7,79,621.29"
520,RAJESHEXPO,Rajesh Exports Limited,"7,78,157.62"
521,QUESS,Quess Corp Limited,"7,72,842.83"
522,VARROC,Varroc Engineering Limited,"7,69,814.28"
523,TMB,Tamilnad Mercantile Bank Limited,"7,68,954.66"
524,MANINFRA,Man Infraconstruction Limited,"7,58,650.20"
525,EASEMYTRIP,Easy Trip Planners Limited,"7,58,433.38"
526,VIPIND,VIP Industries Limited,"7,45,907.75"
527,IONEXCHANG,ION Exchange (India) Limited,"7,43,086.28"
528,RESPONIND,Responsive Industries Limited,"7,40,371.93"
529,MIDHANI,Mishra Dhatu Nigam Limited,"7,38,587.95"
530,EMIL,Electronics Mart India Limited,"7,36,986.25"
531,GAEL,Gujarat Ambuja Exports Limited,"7,33,185.05"
532,BALRAMCHIN,Balrampur Chini Mills Limited,"7,30,231.39"
533,STAR,Strides Pharma Science Limited,"7,21,137.06"
534,JUBLINGREA,Jubilant Ingrevia Limited,"7,21,065.72"
535,SARDAEN,Sarda Energy & Minerals Limited,"7,14,805.41"
536,JMFINANCIL,JM Financial Limited,"7,13,812.99"
537,SOUTHBANK,The South Indian Bank Limited,"7,12,839.91"
538,HEG,HEG Limited,"7,11,720.43"
539,CHEMPLASTS,Chemplast Sanmar Limited,"7,11,493.08"
540,ARVIND,Arvind Limited,"7,07,579.62"
541,RCF,Rashtriya Chemicals and Fertilizers Limited,"7,07,539.99"
542,NAVA,NAVA LIMITED,"7,04,681.25"
543,ALLCARGO,Allcargo Logistics Limited,"7,03,671.98"
544,ICIL,Indo Count Industries Limited,"7,01,310.42"
545,IWEL,Inox Wind Energy Limited,"6,99,512.21"
546,KNRCON,KNR Constructions Limited,"6,92,680.82"
547,FDC,FDC Limited,"6,91,780.05"
548,RELIGARE,Religare Enterprises Limited,"6,89,941.53"
549,GRAVITA,Gravita India Limited,"6,89,516.17"
550,RUSTOMJEE,Keystone Realtors Limited,"6,88,966.65"
551,MARKSANS,Marksans Pharma Limited,"6,88,545.14"
552,NIITMTS,NIIT Learning Systems Limited,"6,85,828.36"
553,AHLUCONT,Ahluwalia Contracts (India) Limited,"6,84,210.94"
554,JUSTDIAL,Just Dial Limited,"6,82,980.95"
555,TRIVENI,Triveni Engineering & Industries Limited,"6,80,991.58"
556,TVSSCS,TVS Supply Chain Solutions Limited,"6,79,605.91"
557,GARFIBRES,Garware Technical Fibres Limited,"6,77,604.69"
558,VESUVIUS,Vesuvius India Limited,"6,73,200.68"
559,SAREGAMA,Saregama India Limited,"6,69,723.76"
560,DBL,Dilip Buildcon Limited,"6,68,056.20"
561,INDIASHLTR,India Shelter Finance Corporation Limited,"6,67,784.99"
562,BLUEJET,Blue Jet Healthcare Limited,"6,64,199.11"
563,BALAMINES,Balaji Amines Limited,"6,62,681.45"
564,ISGEC,Isgec Heavy Engineering Limited,"6,60,221.47"
565,AVANTIFEED,Avanti Feeds Limited,"6,59,769.46"
566,INDIACEM,The India Cements Limited,"6,58,221.65"
567,BECTORFOOD,Mrs. Bectors Food Specialities Limited,"6,55,638.38"
568,CAMPUS,Campus Activewear Limited,"6,54,773.63"
569,LTFOODS,LT Foods Limited,"6,51,620.15"
570,VIJAYA,Vijaya Diagnostic Centre Limited,"6,51,532.68"
571,GOCOLORS,Go Fashion (India) Limited,"6,50,916.28"
572,BORORENEW,BOROSIL RENEWABLES LIMITED,"6,49,751.87"
573,LXCHEM,Laxmi Organic Industries Limited,"6,48,636.41"
574,GREENLAM,Greenlam Industries Limited,"6,44,949.60"
575,DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,"6,36,364.88"
576,CMSINFO,CMS Info Systems Limited,"6,35,830.89"
577,KRBL,KRBL Limited,"6,34,826.12"
578,ETHOSLTD,Ethos Limited,"6,33,419.22"
579,TEXRAIL,Texmaco Rail & Engineering Limited,"6,31,741.47"
580,TCI,Transport Corporation of India Limited,"6,30,972.74"
581,IBREALEST,Indiabulls Real Estate Limited,"6,28,072.55"
582,JINDWORLD,Jindal Worldwide Limited,"6,26,826.77"
583,EMUDHRA,eMudhra Limited,"6,26,801.81"
584,PDSL,PDS Limited,"6,24,429.46"
585,GANESHHOUC,Ganesh Housing Corporation Limited,"6,17,523.09"
586,CSBBANK,CSB Bank Limited,"6,15,007.26"
587,SHAREINDIA,Share India Securities Limited,"6,12,355.17"
588,IFBIND,IFB Industries Limited,"6,10,192.81"
589,PRINCEPIPE,Prince Pipes And Fittings Limited,"6,07,256.73"
590,VAIBHAVGBL,Vaibhav Global Limited,"6,03,365.87"
591,ARVINDFASN,Arvind Fashions Limited,"6,02,431.94"
592,EDELWEISS,Edelweiss Financial Services Limited,"5,99,772.27"
593,SENCO,Senco Gold Limited,"5,99,436.52"
594,SPANDANA,Spandana Sphoorty Financial Limited,"5,99,290.67"
595,INDIGOPNTS,Indigo Paints Limited,"5,98,405.32"
596,GENUSPOWER,Genus Power Infrastructures Limited,"5,93,340.07"
597,SYMPHONY,Symphony Limited,"5,92,920.55"
598,HGINFRA,H.G. Infra Engineering Limited,"5,92,340.23"
599,TIPSINDLTD,TIPS Industries Limited,"5,91,597.09"
600,SIS,SIS LIMITED,"5,89,730.85"
601,MSTCLTD,Mstc Limited,"5,85,516.80"
602,NESCO,Nesco Limited,"5,85,346.12"
603,SANGHVIMOV,Sanghvi Movers Limited,"5,85,297.05"
604,SANDUMA,Sandur Manganese & Iron Ores Limited,"5,82,353.57"
605,UJJIVAN,Ujjivan Financial Services Limited,"5,80,182.11"
606,ITDCEM,ITD Cementation India Limited,"5,73,770.53"
607,CYIENTDLM,Cyient DLM Limited,"5,71,321.32"
608,EPL,EPL Limited,"5,70,955.75"
609,SUPRAJIT,Suprajit Engineering Limited,"5,70,618.92"
610,SUNTECK,Sunteck Realty Limited,"5,70,564.60"
611,HEMIPROP,Hemisphere Properties India Limited,"5,69,857.50"
612,MOIL,MOIL Limited,"5,66,808.06"
613,TIMETECHNO,Time Technoplast Limited,"5,66,528.41"
614,ASTRAMICRO,Astra Microwave Products Limited,"5,66,299.50"
615,TRIL,Transformers And Rectifiers (India) Limited,"5,64,054.94"
616,WONDERLA,Wonderla Holidays Limited,"5,62,169.07"
617,ASKAUTOLTD,ASK Automotive Limited,"5,61,067.84"
618,LLOYDSENGG,LLOYDS ENGINEERING WORKS LIMITED,"5,60,134.39"
619,GMMPFAUDLR,GMM Pfaudler Limited,"5,55,626.33"
620,SURYAROSNI,Surya Roshni Limited,"5,53,012.81"
621,VSTIND,VST Industries Limited,"5,51,276.54"
622,PTC,PTC India Limited,"5,50,427.47"
623,JKPAPER,JK Paper Limited,"5,46,237.86"
624,SANSERA,Sansera Engineering Limited,"5,45,690.99"
625,CHOICEIN,Choice International Limited,"5,45,102.19"
626,AURIONPRO,Aurionpro Solutions Limited,"5,45,065.10"
627,PAISALO,Paisalo Digital Limited,"5,44,214.65"
628,ITDC,India Tourism Development Corporation Limited,"5,41,676.65"
629,HNDFDS,Hindustan Foods Limited,"5,41,359.09"
630,PARADEEP,Paradeep Phosphates Limited,"5,40,987.00"
631,KESORAMIND,Kesoram Industries Limited,"5,31,660.57"
632,HCC,Hindustan Construction Company Limited,"5,30,790.82"
633,ORCHPHARMA,Orchid Pharma Limited,"5,29,938.57"
634,JAMNAAUTO,Jamna Auto Industries Limited,"5,27,599.98"
635,ICRA,ICRA Limited,"5,25,422.67"
636,RSYSTEMS,R Systems International Limited,"5,22,428.01"
637,PRUDENT,Prudent Corporate Advisory Services Limited,"5,19,550.32"
638,MTARTECH,Mtar Technologies Limited,"5,17,914.61"
639,UTKARSHBNK,Utkarsh Small Finance Bank Limited,"5,16,697.54"
640,RAIN,Rain Industries Limited,"5,06,872.94"
641,DYNAMATECH,Dynamatic Technologies Limited,"5,06,444.70"
642,JAICORPLTD,Jai Corp Limited,"5,04,744.16"
643,RBA,Restaurant Brands Asia Limited,"5,02,573.71"
644,GATEWAY,Gateway Distriparks Limited,"5,00,892.95"
645,PURVA,Puravankara Limited,"4,97,421.47"
646,GUJALKALI,Gujarat Alkalies and Chemicals Limited,"4,94,616.98"
647,NAZARA,Nazara Technologies Limited,"4,92,286.65"
648,RALLIS,Rallis India Limited,"4,87,144.57"
649,VRLLOG,VRL Logistics Limited,"4,86,198.42"
650,GABRIEL,Gabriel India Limited,"4,79,555.29"
651,DODLA,Dodla Dairy Limited,"4,77,815.90"
652,JKIL,J.Kumar Infraprojects Limited,"4,77,487.18"
653,ROLEXRINGS,Rolex Rings Limited,"4,76,174.46"
654,WABAG,VA Tech Wabag Limited,"4,74,792.82"
655,PRICOLLTD,Pricol Limited,"4,74,606.55"
656,HCG,Healthcare Global Enterprises Limited,"4,70,590.21"
657,AGI,AGI Greenpac Limited,"4,70,026.47"
658,DBCORP,D.B.Corp Limited,"4,68,917.05"
659,FUSION,Fusion Micro Finance Limited,"4,67,993.15"
660,DHANUKA,Dhanuka Agritech Limited,"4,67,565.24"
661,MASFIN,MAS Financial Services Limited,"4,66,294.56"
662,SULA,Sula Vineyards Limited,"4,65,379.55"
663,TDPOWERSYS,TD Power Systems Limited,"4,63,356.69"
664,GALLANTT,Gallantt Ispat Limited,"4,63,259.41"
665,JAYNECOIND,Jayaswal Neco Industries Limited,"4,61,709.67"
666,GULFOILLUB,Gulf Oil Lubricants India Limited,"4,61,150.73"
667,SAMHI,Samhi Hotels Limited,"4,60,926.68"
668,TEAMLEASE,Teamlease Services Limited,"4,59,568.47"
669,KIRLPNU,Kirloskar Pneumatic Company Limited,"4,58,549.39"
670,EPIGRAL,Epigral Limited,"4,56,199.96"
671,TIIL,Technocraft Industries (India) Limited,"4,53,975.51"
672,GOPAL,Gopal Snacks Limited,"4,45,834.44"
673,JTEKTINDIA,Jtekt India Limited,"4,45,372.27"
674,HEIDELBERG,HeidelbergCement India Limited,"4,45,181.47"
675,SUNDARMHLD,Sundaram Finance Holdings Limited,"4,43,430.36"
676,RTNPOWER,RattanIndia Power Limited,"4,43,033.73"
677,STLTECH,Sterlite Technologies Limited,"4,42,220.72"
678,JPASSOCIAT,Jaiprakash Associates Limited,"4,40,599.92"
679,PATELENG,Patel Engineering Limited,"4,40,188.20"
680,ASHOKA,Ashoka Buildcon Limited,"4,39,612.56"
681,SINDHUTRAD,Sindhu Trade Links Limited,"4,39,449.70"
682,PGEL,PG Electroplast Limited,"4,32,556.19"
683,NFL,National Fertilizers Limited,"4,29,746.68"
684,ENTERO,Entero Healthcare Solutions Limited,"4,29,479.20"
685,JSFB,Jana Small Finance Bank Limited,"4,28,401.77"
686,GOKEX,Gokaldas Exports Limited,"4,28,138.90"
687,BANCOINDIA,Banco Products (I) Limited,"4,26,930.58"
688,VMART,V-Mart Retail Limited,"4,25,978.61"
689,SHANTIGEAR,Shanthi Gears Limited,"4,25,044.18"
690,GHCL,GHCL Limited,"4,24,296.57"
691,SUDARSCHEM,Sudarshan Chemical Industries Limited,"4,22,286.23"
692,WELENT,Welspun Enterprises Limited,"4,20,916.40"
693,FEDFINA,Fedbank Financial Services Limited,"4,19,032.35"
694,NOCIL,NOCIL Limited,"4,16,780.91"
695,TARC,TARC Limited,"4,12,397.13"
696,KKCL,Kewal Kiran Clothing Limited,"4,12,149.24"
697,ORIENTELEC,Orient Electric Limited,"4,12,009.55"
698,BOROLTD,Borosil Limited,"4,09,344.53"
699,KIRLOSIND,Kirloskar Industries Limited,"4,08,479.10"
700,BALMLAWRIE,Balmer Lawrie & Company Limited,"4,07,673.17"
701,FCL,Fineotex Chemical Limited,"4,07,559.78"
702,GRWRHITECH,Garware Hi-Tech Films Limited,"4,06,218.41"
703,SHARDAMOTR,Sharda Motor Industries Limited,"4,06,193.53"
704,PARKHOTELS,Apeejay Surrendra Park Hotels Limited,"4,06,051.19"
705,MAXESTATES,Max Estates Limited,"4,05,944.21"
706,TI,Tilaknagar Industries Limited,"4,05,697.39"
707,AMIORG,Ami Organics Limited,"4,03,362.71"
708,ORIENTCEM,Orient Cement Limited,"4,01,133.03"
709,SHILPAMED,Shilpa Medicare Limited,"3,99,766.14"
710,AARTIDRUGS,Aarti Drugs Limited,"3,99,273.71"
711,LGBBROSLTD,LG Balakrishnan & Bros Limited,"3,98,966.21"
712,AARTIPHARM,Aarti Pharmalabs Limited,"3,94,177.82"
713,TCIEXP,TCI Express Limited,"3,92,607.88"
714,WSTCSTPAPR,West Coast Paper Mills Limited,"3,90,415.10"
715,ADVENZYMES,Advanced Enzyme Technologies Limited,"3,89,650.99"
716,PRIVISCL,Privi Speciality Chemicals Limited,"3,87,170.01"
717,GREENPANEL,Greenpanel Industries Limited,"3,85,969.73"
718,VENUSPIPES,Venus Pipes & Tubes Limited,"3,84,103.88"
719,BBOX,Black Box Limited,"3,78,225.60"
720,IIFLSEC,IIFL Securities Limited,"3,78,014.53"
721,PILANIINVS,Pilani Investment and Industries Corporation Limited,"3,77,071.01"
722,ROSSARI,Rossari Biotech Limited,"3,73,987.57"
723,KSL,Kalyani Steels Limited,"3,73,779.33"
724,DCBBANK,DCB Bank Limited,"3,73,380.50"
725,IMAGICAA,Imagicaaworld Entertainment Limited,"3,72,267.78"
726,BAJAJHIND,Bajaj Hindusthan Sugar Limited,"3,71,073.06"
727,DCAL,Dishman Carbogen Amcis Limited,"3,69,302.58"
728,HARSHA,Harsha Engineers International Limited,"3,65,177.91"
729,BBL,Bharat Bijlee Limited,"3,62,612.57"
730,YATHARTH,Yatharth Hospital & Trauma Care Services Limited,"3,60,828.53"
731,ORISSAMINE,The Orissa Minerals Development Company Limited,"3,54,789.00"
732,THANGAMAYL,Thangamayil Jewellery Limited,"3,53,361.55"
733,ZAGGLE,Zaggle Prepaid Ocean Services Limited,"3,52,504.61"
734,BHARATRAS,Bharat Rasayan Limited,"3,52,381.27"
735,KOLTEPATIL,Kolte - Patil Developers Limited,"3,52,014.42"
736,KSCL,Kaveri Seed Company Limited,"3,48,588.72"
737,MEDIASSIST,Medi Assist Healthcare Services Limited,"3,48,186.61"
738,INOXGREEN,Inox Green Energy Services Limited,"3,48,069.91"
739,HATHWAY,Hathway Cable & Datacom Limited,"3,46,940.48"
740,SSWL,Steel Strips Wheels Limited,"3,46,656.88"
741,UNICHEMLAB,Unichem Laboratories Limited,"3,46,431.49"
742,CIGNITITEC,Cigniti Technologies Limited,"3,45,578.11"
743,IMFA,Indian Metals & Ferro Alloys Limited,"3,45,090.46"
744,ASHAPURMIN,Ashapura Minechem Limited,"3,43,941.99"
745,HGS,Hinduja Global Solutions Limited,"3,43,598.83"
746,MUTHOOTMF,Muthoot Microfin Limited,"3,40,558.12"
747,SUBROS,Subros Limited,"3,36,322.91"
748,RAMKY,Ramky Infrastructure Limited,"3,36,162.87"
749,SUNFLAG,Sunflag Iron And Steel Company Limited,"3,35,478.50"
750,CARERATING,CARE Ratings Limited,"3,34,083.96"
751,GENSOL,Gensol Engineering Limited,"3,33,754.90"
752,SKIPPER,Skipper Limited,"3,32,035.47"
753,LAOPALA,La Opala RG Limited,"3,30,613.50"
754,LUMAXTECH,Lumax Auto Technologies Limited,"3,29,338.03"
755,DCXINDIA,DCX Systems Limited,"3,27,698.87"
756,BOMDYEING,Bombay Dyeing & Mfg Company Limited,"3,26,841.48"
757,HIKAL,Hikal Limited,"3,26,808.64"
758,JISLJALEQS,Jain Irrigation Systems Limited,"3,26,391.64"
759,CUPID,Cupid Limited,"3,25,132.18"
760,AVALON,Avalon Technologies Limited,"3,24,318.75"
761,LUXIND,Lux Industries Limited,"3,23,075.10"
762,NUCLEUS,Nucleus Software Exports Limited,"3,17,237.12"
763,TASTYBITE,Tasty Bite Eatables Limited,"3,17,232.01"
764,SOTL,Savita Oil Technologies Limited,"3,17,032.70"
765,ARVSMART,Arvind SmartSpaces Limited,"3,16,186.99"
766,SANDHAR,Sandhar Technologies Limited,"3,16,031.31"
767,SALASAR,Salasar Techno Engineering Limited,"3,15,705.28"
768,NEOGEN,Neogen Chemicals Limited,"3,15,577.58"
769,DATAMATICS,Datamatics Global Services Limited,"3,14,373.47"
770,JTLIND,JTL INDUSTRIES LIMITED,"3,13,565.89"
771,ANUP,The Anup Engineering Limited,"3,13,554.00"
772,HERITGFOOD,Heritage Foods Limited,"3,13,511.29"
773,THYROCARE,Thyrocare Technologies Limited,"3,12,394.31"
774,VADILALIND,Vadilal Industries Limited,"3,12,206.99"
775,NAVNETEDUL,Navneet Education Limited,"3,11,608.66"
776,DISHTV,Dish TV India Limited,"3,08,410.39"
777,KDDL,KDDL Limited,"3,07,441.45"
778,KALAMANDIR,Sai Silks (Kalamandir) Limited,"3,07,345.69"
779,LANDMARK,Landmark Cars Limited,"3,03,092.69"
780,INDOCO,Indoco Remedies Limited,"3,02,852.14"
781,BAJAJCON,Bajaj Consumer Care Limited,"3,02,472.47"
782,TVSSRICHAK,TVS Srichakra Limited,"2,99,222.20"
783,CARTRADE,Cartrade Tech Limited,"2,99,167.72"
784,SBCL,Shivalik Bimetal Controls Limited,"2,99,167.41"
785,FIEMIND,Fiem Industries Limited,"2,98,135.95"
786,PRAKASH,Prakash Industries Limited,"2,97,723.56"
787,DELTACORP,Delta Corp Limited,"2,96,288.72"
788,RAJRATAN,Rajratan Global Wire Limited,"2,94,928.74"
789,IDEAFORGE,Ideaforge Technology Limited,"2,94,900.92"
790,MAHLOG,Mahindra Logistics Limited,"2,94,519.80"
791,PFOCUS,Prime Focus Limited,"2,94,451.37"
792,GREAVESCOT,Greaves Cotton Limited,"2,93,711.96"
793,DOLLAR,Dollar Industries Limited,"2,91,974.59"
794,UFLEX,UFLEX Limited,"2,91,878.83"
795,UNITECH,Unitech Limited,"2,91,717.57"
796,BFUTILITIE,BF Utilities Limited,"2,90,794.09"
797,SHARDACROP,Sharda Cropchem Limited,"2,89,743.12"
798,BANARISUG,Bannari Amman Sugars Limited,"2,88,751.67"
799,SEQUENT,Sequent Scientific Limited,"2,88,095.69"
800,GREENPLY,Greenply Industries Limited,"2,85,991.27"
801,MAITHANALL,Maithan Alloys Limited,"2,85,409.64"
802,SHK,S H Kelkar and Company Limited,"2,84,454.75"
803,SUNCLAY,Sundaram Clayton Limited,"2,84,008.16"
804,GUFICBIO,Gufic Biosciences Limited,"2,83,283.95"
805,BLSE,BLS E-Services Limited,"2,81,655.10"
806,DIACABS,Diamond Power Infrastructure Limited,"2,80,533.04"
807,ESAFSFB,ESAF Small Finance Bank Limited,"2,80,297.63"
808,VSTTILLERS,V.S.T Tillers Tractors Limited,"2,79,907.75"
809,HLEGLAS,HLE Glascoat Limited,"2,78,727.95"
810,BCG,Brightcom Group Limited,"2,78,473.22"
811,GOODLUCK,Goodluck India Limited,"2,77,958.16"
812,SWARAJENG,Swaraj Engines Limited,"2,77,333.98"
813,SEAMECLTD,Seamec Limited,"2,76,776.55"
814,SMLISUZU,SML Isuzu Limited,"2,76,155.18"
815,ASHIANA,Ashiana Housing Limited,"2,75,387.85"
816,DALMIASUG,Dalmia Bharat Sugar and Industries Limited,"2,75,315.04"
817,HINDWAREAP,Hindware Home Innovation Limited,"2,72,340.52"
818,SAGCEM,Sagar Cements Limited,"2,72,263.82"
819,SAKSOFT,Saksoft Limited,"2,71,517.98"
820,APOLLO,Apollo Micro Systems Limited,"2,69,087.99"
821,SUPRIYA,Supriya Lifescience Limited,"2,67,967.48"
822,AUTOAXLES,Automotive Axles Limited,"2,65,585.40"
823,STYLAMIND,Stylam Industries Limited,"2,64,745.65"
824,FLAIR,Flair Writing Industries Limited,"2,64,384.31"
825,VINDHYATEL,Vindhya Telelinks Limited,"2,63,711.33"
826,CARYSIL,CARYSIL LIMITED,"2,63,319.02"
827,THEJO,Thejo Engineering Limited,"2,63,234.94"
828,MPSLTD,MPS Limited,"2,62,283.48"
829,MARATHON,Marathon Nextgen Realty Limited,"2,62,252.90"
830,ISMTLTD,ISMT Limited,"2,60,684.95"
831,FILATEX,Filatex India Limited,"2,59,877.40"
832,NRBBEARING,NRB Bearing Limited,"2,59,801.03"
833,JCHAC,Johnson Controls - Hitachi Air Conditioning India Limited,"2,59,428.22"
834,MOLDTKPAC,Mold-Tek Packaging Limited,"2,59,202.12"
835,DREAMFOLKS,Dreamfolks Services Limited,"2,58,952.04"
836,GMRP&UI,GMR Power and Urban Infra Limited,"2,58,640.26"
837,SHALBY,Shalby Limited,"2,58,251.36"
838,INNOVACAP,Innova Captab Limited,"2,57,254.67"
839,PFS,PTC India Financial Services Limited,"2,56,913.33"
840,AJMERA,Ajmera Realty & Infra India Limited,"2,56,484.68"
841,HMAAGRO,HMA Agro Industries Limited,"2,55,642.97"
842,NILKAMAL,Nilkamal Limited,"2,54,540.97"
843,RPGLIFE,RPG Life Sciences Limited,"2,52,790.57"
844,TATVA,Tatva Chintan Pharma Chem Limited,"2,52,306.71"
845,STYRENIX,Styrenix Performance Materials Limited,"2,51,659.09"
846,QUICKHEAL,Quick Heal Technologies Limited,"2,51,153.61"
847,ACCELYA,Accelya Solutions India Limited,"2,50,798.50"
848,REPCOHOME,Repco Home Finance Limited,"2,50,683.38"
849,PCJEWELLER,PC Jeweller Limited,"2,50,387.30"
850,APOLLOPIPE,Apollo Pipes Limited,"2,50,247.04"
851,GANECOS,Ganesha Ecosphere Limited,"2,49,667.79"
852,PARAGMILK,Parag Milk Foods Limited,"2,48,182.37"
853,BAJEL,Bajel Projects Limited,"2,48,090.63"
854,PSPPROJECT,PSP Projects Limited,"2,47,644.00"
855,GIPCL,Gujarat Industries Power Company Limited,"2,46,615.06"
856,XPROINDIA,Xpro India Limited,"2,46,203.92"
857,PITTIENG,Pitti Engineering Limited,"2,45,247.11"
858,SHAKTIPUMP,Shakti Pumps (India) Limited,"2,45,117.76"
859,TIDEWATER,Tide Water Oil Company (India) Limited,"2,43,500.40"
860,SHAILY,Shaily Engineering Plastics Limited,"2,43,074.87"
861,EVEREADY,Eveready Industries India Limited,"2,42,920.82"
862,CONFIPET,Confidence Petroleum India Limited,"2,41,161.66"
863,POLYPLEX,Polyplex Corporation Limited,"2,40,372.08"
864,TAJGVK,Taj GVK Hotels & Resorts Limited,"2,40,052.67"
865,TIRUMALCHM,Thirumalai Chemicals Limited,"2,39,537.01"
866,SPECTRUM,Spectrum Electrical Industries Limited,"2,39,264.63"
867,PARAS,Paras Defence and Space Technologies Limited,"2,38,602.37"
868,EXICOM,Exicom Tele-Systems Limited,"2,38,447.15"
869,PGIL,Pearl Global Industries Limited,"2,38,344.42"
